start,end,events
12019040,12019041,1
12025218,12025671,2
12045734,12045717,1
12113827,12113810,1
12155438,12155421,1
12163445,12163428,1
12172348,12177972,6
12183302,12183285,1
12225487,12225470,1
12231841,12231824,1
12256388,12259946,3
12270358,12270341,1
12314812,12315614,2
12322362,12324916,2
12333903,12333886,1
12346310,12350442,2
12364090,12364073,1
12384867,12384850,1
12514755,12514738,1
12523206,12523189,1
12534831,12534814,1
12542106,12547962,3
12556802,12556785,1
12563012,12562995,1
12576132,12576115,1
12714405,12716927,3
12739125,12739108,1
12751302,12751285,1
12760664,12760647,1
12780356,12780339,1
12787264,12789333,3
12793314,12797731,2
12803651,12803634,1
12850487,12850577,2
12864825,12864808,1
12875063,12878837,2
12926203,12930043,2
12933830,12939645,3
12955765,12959739,5
12962589,12962572,1
12977650,12981446,2
12985844,12988061,3
12999001,12998984,1
13009651,13009634,1
13088070,13088053,1
13106564,13106547,1
13122061,13122044,1
13179667,13179650,1
13182832,13189373,2
13194876,13194859,1
13233556,13233539,1
13287068,13287051,1
13330828,13330811,1
13340087,13340070,1
13341513,13341496,1
13397869,13401386,2
13402264,13405168,2
13412063,13412046,1
13423981,13423964,1
13438912,13438895,1
13444680,13444663,1
13463172,13465899,2
13473192,13473175,1
13507298,13507281,1
13530417,13530400,1
13544003,13543986,1
13570431,13570414,1
13579887,13579870,1
13603383,13603366,1
13627011,13626994,1
13635769,13635752,1
13654390,13654373,1
13670044,13670027,1
13725269,13725252,1
13740176,13740159,1
13765889,13771297,2
13776660,13776643,1
13785092,13785470,3
13796661,13796644,1
13814916,13814899,1
13822208,13822191,1
13903335,13903318,1
13918075,13918058,1
13922112,13922095,1
13934356,13935675,3
13998232,13998215,1
14029694,14030504,2
14035543,14035526,1
14042080,14042063,1
14064426,14065994,2
14084911,14084894,1
14129513,14129496,1
14139053,14139036,1
14166125,14166108,1
14178192,14178175,1
14188001,14187984,1
14199842,14199929,2
14212013,14221458,5
14221778,14228881,2
14236257,14236240,1
14272354,14274335,2
14289851,14289834,1
14291533,14294866,2
14324656,14331147,2
14354407,14360614,3
14370789,14370772,1
14406767,14407094,2
14453663,14455576,2
14476799,14478787,2
14486738,14486721,1
14527144,14527127,1
14540304,14540287,1
14545423,14546503,2
14552352,14552335,1
14572200,14572183,1
14608367,14608350,1
14614603,14614586,1
14675619,14675602,1
14701048,14701031,1
14712911,14714045,2
14721535,14731465,10
14731792,14739387,6
14745640,14751003,2
14751787,14751809,2
14819229,14819212,1
14848541,14848524,1
14879637,14879620,1
14886736,14889552,2
14891779,14892498,2
14958726,14958709,1
14994338,14994321,1
15003754,15007626,2
15015589,15015572,1
15038291,15038274,1
15042483,15048298,3
15071904,15071887,1
15122791,15131210,3
15139166,15139149,1
15151901,15161343,5
15171717,15171700,1
15201366,15201349,1
15202292,15210990,2
15212317,15219162,6
15223626,15225305,2
15245487,15249926,2
15265947,15271415,37
15271528,15281420,181
15281485,15291463,269
15291483,15301323,375
15301536,15311383,404
15311524,15321368,552
15321486,15331462,586
15331505,15341440,474
15341517,15351460,371
15351522,15361460,255
15361525,15371344,227
15371496,15381430,218
15381517,15391455,259
15391507,15401458,322
15401518,15411433,325
15411530,15421452,268
15421564,15431448,274
15431484,15441400,307
15441590,15451423,364
15451487,15461362,330
15461489,15471296,299
15471492,15481418,186
15481498,15491452,185
15491496,15501412,229
15501524,15511356,199
15511502,15521450,305
15521497,15531455,196
15531499,15541453,187
15541612,15551385,161
15551643,15561387,82
15561680,15571443,91
15571614,15581404,71
15581871,15591171,42
15591568,15598449,23
15603447,15611056,9
15612539,15620741,31
15622097,15630851,18
15631628,15641187,39
15641873,15651401,88
15651526,15661228,79
15661749,15671460,80
15671534,15681380,36
15681748,15690931,17
15691593,15701133,25
15701732,15711347,51
15711530,15721328,30
15722506,15731260,48
15731485,15741327,64
15741680,15750860,57
15751520,15761442,41
15761878,15767326,9
15772527,15781204,20
15782033,15791327,57
15791621,15801287,18
15801491,15811392,17
15811919,15820832,38
15824100,15830627,31
15831752,15840906,12
15842503,15849616,19
15852744,15860784,52
15862191,15871220,18
15878866,15879065,3
15882161,15887730,5
15897697,15897680,1
15904052,15906772,3
15914292,15914275,1
15921874,15930762,19
15934196,15938286,4
15941525,15945031,7
15953967,15961290,5
15961754,15971232,14
15971503,15979639,8
15984899,15989426,12
15991937,16001289,10
16001639,16010759,14
16011792,16020567,9
16022248,16030572,12
16033059,16040352,16
16071849,16071832,1
16137550,16137533,1
16193870,16194548,2
16226059,16226042,1
16246172,16246155,1
16292048,16298740,3
16349757,16349740,1
16351759,16351742,1
16421241,16421224,1
16490860,16490843,1
16500224,16500207,1
16511131,16511114,1
16555669,16555652,1
16575196,16575179,1
16593349,16593332,1
16616102,16621290,2
16621572,16624501,3
16668781,16669622,2
16672048,16677462,2
16682638,16682621,1
16694812,16694795,1
16741067,16741050,1
16785929,16785912,1
16817152,16817135,1
16826847,16830607,4
16832713,16835491,2
16841984,16841967,1
16901441,16901424,1
16983330,16983313,1
16991665,16995069,2
17005157,17005140,1
17026286,17028643,2
17065293,17065276,1
17075954,17075937,1
17083864,17083847,1
17117327,17117310,1
17216144,17218064,2
17325155,17325138,1
17332449,17333418,2
17363797,17365204,2
17372872,17372855,1
17396527,17396510,1
17410603,17410586,1
17417958,17418071,2
17423077,17423060,1
17433819,17433802,1
17497300,17497283,1
17508349,17508332,1
17513141,17513124,1
17522425,17529587,4
17548990,17548973,1
17559474,17559457,1
17579438,17579421,1
17584813,17588370,2
17611184,17611167,1
17616330,17618632,3
17699032,17699015,1
17731600,17731583,1
17805980,17805963,1
17838832,17840014,3
17841483,17851446,6
17862255,17862692,2
17891086,17891069,1
17966560,17966543,1
17985288,17987957,2
18014580,18021339,3
18025642,18027296,2
18036413,18040406,3
18058516,18061140,3
18061823,18069397,2
18071649,18079714,4
18116077,18118127,2
18127031,18131236,3
18133358,18135968,2
18223713,18223696,1
18240149,18241409,2
18244388,18246050,2
18274680,18274663,1
18288322,18288305,1
18304744,18304727,1
18317246,18317229,1
18327071,18327054,1
18349247,18350893,2
18354111,18358089,3
18447813,18447796,1
18460005,18459988,1
18514779,18518516,2
18522262,18526912,4
18544647,18550814,2
18611216,18611199,1
18625410,18625393,1
18641625,18641806,2
18671532,18677407,2
18682218,18683412,3
18715525,18721110,3
18721988,18729220,15
18740998,18740981,1
18746209,18750241,9
18753549,18761191,7
18762367,18770546,7
18773771,18779821,8
18781638,18789573,10
18791574,18800000,15
18805591,18811269,19
18811591,18820927,41
18821549,18831397,24
18831489,18841376,37
18841615,18851313,37
18851939,18860550,22
18863406,18871389,9
18876280,18881369,12
18883061,18890110,8
18892044,18899551,11
18903084,18910783,3
18912435,18921063,2
18948020,18949170,2
18951817,18961428,9
18962193,18969190,9
18972879,18978559,9
18983284,18990384,4
19004875,19011033,3
19018302,19020757,4
19025627,19028668,4
19037970,19041152,3
19041765,19051401,5
19051838,19061047,3
19062882,19071463,2
19078243,19078226,1
19082760,19087639,7
19092239,19099537,3
19114497,19114480,1
19122995,19131439,2
19131552,19133927,4
19143480,19149005,8
19151538,19160569,5
19164637,19166967,2
19171973,19175813,2
19182568,19184741,2
19191692,19199743,13
19203573,19211291,17
19212090,19221379,17
19223349,19223332,1
19234479,19240706,4
19241757,19251063,18
19252666,19261415,13
19261867,19270822,8
19271826,19280439,22
19281516,19291255,26
19291630,19301319,39
19302039,19311356,33
19311631,19321231,26
19321929,19330483,5
19332124,19339097,25
19343450,19349720,6
19358987,19358970,1
19369355,19370585,3
19373475,19378418,3
19381655,19389806,7
19394704,19399513,4
19403919,19410993,12
19411966,19413179,2
19424074,19430958,14
19431811,19439682,10
19442282,19444938,2
19457104,19458602,4
19462401,19467694,9
19478312,19478295,1
19483017,19483235,2
19494863,19500481,6
19504030,19511313,7
19511831,19515981,10
19524996,19524979,1
19532885,19539515,6
19544006,19551010,5
19555382,19561013,6
19564023,19570427,5
19572788,19581160,8
19584191,19590648,10
19595300,19598480,2
19604873,19611055,14
19611778,19620911,15
19621738,19630968,25
19632110,19639373,6
19643064,19650012,18
19652303,19661200,46
19661898,19670748,52
19671929,19681142,36
19681602,19691196,39
19692198,19701461,29
19701572,19711446,58
19711597,19721387,50
19721582,19730554,44
19731724,19738934,30
19741523,19751442,40
19751772,19761304,21
19761959,19770981,48
19771799,19781261,28
19782654,19787977,3
19793233,19800729,9
19805103,19807040,3
19813287,19821410,7
19823591,19828081,10
19838466,19841175,3
19843465,19850889,10
19852944,19861089,10
19861729,19869970,24
19872008,19880990,46
19881706,19891447,46
19891487,19900941,46
19902404,19911225,16
19911845,19921207,40
19921653,19931047,66
19931495,19941267,24
19941562,19950667,10
